seed,policy,slice,n,accuracy,difference
1701,incumbent,0,35,0.9428571428571428,0.0
1701,incumbent,1,36,0.9444444444444444,0.0
1701,incumbent,2,36,1.0,0.0
1701,incumbent,3,36,0.8888888888888888,0.0
1701,incumbent,4,36,0.9444444444444444,0.0
1701,incumbent,5,37,0.972972972972973,0.0
1701,incumbent,6,37,0.9459459459459459,0.0
1701,incumbent,7,36,0.9722222222222222,0.0
1701,incumbent,8,35,0.8857142857142857,0.0
1701,incumbent,9,36,1.0,0.0
1701,updated,0,35,0.9428571428571428,0.0
1701,updated,1,36,1.0,0.05555555555555558
1701,updated,2,36,1.0,0.0
1701,updated,3,36,0.9444444444444444,0.05555555555555558
1701,updated,4,36,0.9722222222222222,0.02777777777777779
1701,updated,5,37,1.0,0.027027027027026973
1701,updated,6,37,0.9459459459459459,0.0
1701,updated,7,36,0.9722222222222222,0.0
1701,updated,8,35,0.8571428571428571,-0.02857142857142858
1701,updated,9,36,0.9722222222222222,-0.02777777777777779
1701,scalar,0,35,0.9428571428571428,0.0
1701,scalar,1,36,1.0,0.05555555555555558
1701,scalar,2,36,1.0,0.0
1701,scalar,3,36,0.9444444444444444,0.05555555555555558
1701,scalar,4,36,0.9444444444444444,0.0
1701,scalar,5,37,1.0,0.027027027027026973
1701,scalar,6,37,0.9459459459459459,0.0
1701,scalar,7,36,0.9722222222222222,0.0
1701,scalar,8,35,0.8571428571428571,-0.02857142857142858
1701,scalar,9,36,0.9722222222222222,-0.02777777777777779
1701,layer,0,35,0.9428571428571428,0.0
1701,layer,1,36,0.9722222222222222,0.02777777777777779
1701,layer,2,36,1.0,0.0
1701,layer,3,36,0.8888888888888888,0.0
1701,layer,4,36,0.9444444444444444,0.0
1701,layer,5,37,0.972972972972973,0.0
1701,layer,6,37,0.9459459459459459,0.0
1701,layer,7,36,0.9722222222222222,0.0
1701,layer,8,35,0.8571428571428571,-0.02857142857142858
1701,layer,9,36,0.9722222222222222,-0.02777777777777779
1701,released,0,35,0.9428571428571428,0.0
1701,released,1,36,0.9444444444444444,0.0
1701,released,2,36,1.0,0.0
1701,released,3,36,0.8888888888888888,0.0
1701,released,4,36,0.9444444444444444,0.0
1701,released,5,37,0.972972972972973,0.0
1701,released,6,37,0.9459459459459459,0.0
1701,released,7,36,0.9722222222222222,0.0
1701,released,8,35,0.8857142857142857,0.0
1701,released,9,36,1.0,0.0
1702,incumbent,0,36,1.0,0.0
1702,incumbent,1,36,0.9722222222222222,0.0
1702,incumbent,2,36,1.0,0.0
1702,incumbent,3,37,0.8918918918918919,0.0
1702,incumbent,4,36,1.0,0.0
1702,incumbent,5,37,0.918918918918919,0.0
1702,incumbent,6,36,1.0,0.0
1702,incumbent,7,36,0.9166666666666666,0.0
1702,incumbent,8,34,0.8529411764705882,0.0
1702,incumbent,9,36,0.9722222222222222,0.0
1702,updated,0,36,1.0,0.0
1702,updated,1,36,0.9722222222222222,0.0
1702,updated,2,36,1.0,0.0
1702,updated,3,37,0.918918918918919,0.027027027027027084
1702,updated,4,36,1.0,0.0
1702,updated,5,37,0.918918918918919,0.0
1702,updated,6,36,1.0,0.0
1702,updated,7,36,0.9444444444444444,0.02777777777777779
1702,updated,8,34,0.9411764705882353,0.08823529411764708
1702,updated,9,36,0.9722222222222222,0.0
1702,scalar,0,36,1.0,0.0
1702,scalar,1,36,0.9722222222222222,0.0
1702,scalar,2,36,1.0,0.0
1702,scalar,3,37,0.918918918918919,0.027027027027027084
1702,scalar,4,36,1.0,0.0
1702,scalar,5,37,0.918918918918919,0.0
1702,scalar,6,36,1.0,0.0
1702,scalar,7,36,0.9444444444444444,0.02777777777777779
1702,scalar,8,34,0.9411764705882353,0.08823529411764708
1702,scalar,9,36,0.9722222222222222,0.0
1702,layer,0,36,1.0,0.0
1702,layer,1,36,0.9722222222222222,0.0
1702,layer,2,36,1.0,0.0
1702,layer,3,37,0.918918918918919,0.027027027027027084
1702,layer,4,36,1.0,0.0
1702,layer,5,37,0.918918918918919,0.0
1702,layer,6,36,1.0,0.0
1702,layer,7,36,0.9444444444444444,0.02777777777777779
1702,layer,8,34,0.9411764705882353,0.08823529411764708
1702,layer,9,36,0.9722222222222222,0.0
1702,released,0,36,1.0,0.0
1702,released,1,36,0.9722222222222222,0.0
1702,released,2,36,1.0,0.0
1702,released,3,37,0.8918918918918919,0.0
1702,released,4,36,1.0,0.0
1702,released,5,37,0.918918918918919,0.0
1702,released,6,36,1.0,0.0
1702,released,7,36,0.9166666666666666,0.0
1702,released,8,34,0.8529411764705882,0.0
1702,released,9,36,0.9722222222222222,0.0
1703,incumbent,0,35,0.9714285714285714,0.0
1703,incumbent,1,36,0.8611111111111112,0.0
1703,incumbent,2,35,0.9428571428571428,0.0
1703,incumbent,3,37,1.0,0.0
1703,incumbent,4,36,0.9444444444444444,0.0
1703,incumbent,5,37,0.972972972972973,0.0
1703,incumbent,6,37,0.9459459459459459,0.0
1703,incumbent,7,36,0.9166666666666666,0.0
1703,incumbent,8,35,0.8285714285714286,0.0
1703,incumbent,9,36,0.9722222222222222,0.0
1703,updated,0,35,0.9714285714285714,0.0
1703,updated,1,36,0.9166666666666666,0.05555555555555547
1703,updated,2,35,0.9428571428571428,0.0
1703,updated,3,37,1.0,0.0
1703,updated,4,36,0.9722222222222222,0.02777777777777779
1703,updated,5,37,0.972972972972973,0.0
1703,updated,6,37,0.9459459459459459,0.0
1703,updated,7,36,0.9166666666666666,0.0
1703,updated,8,35,0.8571428571428571,0.02857142857142847
1703,updated,9,36,0.9722222222222222,0.0
1703,scalar,0,35,0.9714285714285714,0.0
1703,scalar,1,36,0.8888888888888888,0.02777777777777768
1703,scalar,2,35,0.9428571428571428,0.0
1703,scalar,3,37,1.0,0.0
1703,scalar,4,36,0.9444444444444444,0.0
1703,scalar,5,37,0.972972972972973,0.0
1703,scalar,6,37,0.9459459459459459,0.0
1703,scalar,7,36,0.9166666666666666,0.0
1703,scalar,8,35,0.8571428571428571,0.02857142857142847
1703,scalar,9,36,0.9722222222222222,0.0
1703,layer,0,35,0.9714285714285714,0.0
1703,layer,1,36,0.8888888888888888,0.02777777777777768
1703,layer,2,35,0.9428571428571428,0.0
1703,layer,3,37,1.0,0.0
1703,layer,4,36,0.9444444444444444,0.0
1703,layer,5,37,0.972972972972973,0.0
1703,layer,6,37,0.9459459459459459,0.0
1703,layer,7,36,0.9166666666666666,0.0
1703,layer,8,35,0.8571428571428571,0.02857142857142847
1703,layer,9,36,0.9722222222222222,0.0
1703,released,0,35,0.9714285714285714,0.0
1703,released,1,36,0.8611111111111112,0.0
1703,released,2,35,0.9428571428571428,0.0
1703,released,3,37,1.0,0.0
1703,released,4,36,0.9444444444444444,0.0
1703,released,5,37,0.972972972972973,0.0
1703,released,6,37,0.9459459459459459,0.0
1703,released,7,36,0.9166666666666666,0.0
1703,released,8,35,0.8285714285714286,0.0
1703,released,9,36,0.9722222222222222,0.0
1704,incumbent,0,35,1.0,0.0
1704,incumbent,1,37,0.918918918918919,0.0
1704,incumbent,2,36,0.9722222222222222,0.0
1704,incumbent,3,36,0.8888888888888888,0.0
1704,incumbent,4,36,0.9166666666666666,0.0
1704,incumbent,5,37,0.9459459459459459,0.0
1704,incumbent,6,36,0.9444444444444444,0.0
1704,incumbent,7,36,0.9444444444444444,0.0
1704,incumbent,8,35,0.9714285714285714,0.0
1704,incumbent,9,36,0.9444444444444444,0.0
1704,updated,0,35,1.0,0.0
1704,updated,1,37,0.9459459459459459,0.027027027027026973
1704,updated,2,36,0.9722222222222222,0.0
1704,updated,3,36,0.8611111111111112,-0.02777777777777768
1704,updated,4,36,0.9722222222222222,0.05555555555555558
1704,updated,5,37,0.9459459459459459,0.0
1704,updated,6,36,0.9722222222222222,0.02777777777777779
1704,updated,7,36,0.9444444444444444,0.0
1704,updated,8,35,0.9428571428571428,-0.02857142857142858
1704,updated,9,36,0.9444444444444444,0.0
1704,scalar,0,35,1.0,0.0
1704,scalar,1,37,0.918918918918919,0.0
1704,scalar,2,36,0.9722222222222222,0.0
1704,scalar,3,36,0.8611111111111112,-0.02777777777777768
1704,scalar,4,36,0.9722222222222222,0.05555555555555558
1704,scalar,5,37,0.9459459459459459,0.0
1704,scalar,6,36,0.9722222222222222,0.02777777777777779
1704,scalar,7,36,0.9444444444444444,0.0
1704,scalar,8,35,0.9714285714285714,0.0
1704,scalar,9,36,0.9444444444444444,0.0
1704,layer,0,35,1.0,0.0
1704,layer,1,37,0.918918918918919,0.0
1704,layer,2,36,0.9722222222222222,0.0
1704,layer,3,36,0.8611111111111112,-0.02777777777777768
1704,layer,4,36,0.9722222222222222,0.05555555555555558
1704,layer,5,37,0.9459459459459459,0.0
1704,layer,6,36,0.9722222222222222,0.02777777777777779
1704,layer,7,36,0.9444444444444444,0.0
1704,layer,8,35,0.9714285714285714,0.0
1704,layer,9,36,0.9444444444444444,0.0
1704,released,0,35,1.0,0.0
1704,released,1,37,0.918918918918919,0.0
